Total Nacional;Comunidades y Ciudades Autónomas;Producto consumido;año;Total
Total Nacional;19 Melilla;Biocombustibles;2015;.
Total Nacional;19 Melilla;Calor y otros consumos energéticos;2022;.
Total Nacional;19 Melilla;Calor y otros consumos energéticos;2021;.
Total Nacional;19 Melilla;Calor y otros consumos energéticos;2019;4
Total Nacional;19 Melilla;Calor y otros consumos energéticos;2017;.
Total Nacional;19 Melilla;Calor y otros consumos energéticos;2015;.
Total Nacional;19 Melilla;Total consumos energéticos;2022;.
Total Nacional;19 Melilla;Total consumos energéticos;2021;.
Total Nacional;19 Melilla;Total consumos energéticos;2019;199
Total Nacional;19 Melilla;Total consumos energéticos;2017;.
Total Nacional;19 Melilla;Total consumos energéticos;2015;.
