Total Nacional;Comunidades y Ciudades Autónomas;Producto consumido;año;Total
Total Nacional;09 Cataluña;Calor y otros consumos energéticos;2021;160.236
Total Nacional;09 Cataluña;Calor y otros consumos energéticos;2019;119.218
Total Nacional;09 Cataluña;Calor y otros consumos energéticos;2017;96.981
Total Nacional;09 Cataluña;Calor y otros consumos energéticos;2015;76.615
Total Nacional;09 Cataluña;Total consumos energéticos;2022;4.820.153
Total Nacional;09 Cataluña;Total consumos energéticos;2021;2.819.802
Total Nacional;09 Cataluña;Total consumos energéticos;2019;2.429.610
Total Nacional;09 Cataluña;Total consumos energéticos;2017;2.319.349
Total Nacional;09 Cataluña;Total consumos energéticos;2015;2.413.360
Total Nacional;10 Comunitat Valenciana;Electricidad;2022;1.556.787
Total Nacional;10 Comunitat Valenciana;Electricidad;2021;947.187
Total Nacional;10 Comunitat Valenciana;Electricidad;2019;668.364
