Actividad principal (CNAE-2009 a 1, 2 y 3 dígitos);Producto consumido;año;Total
06 Extracción de crudo de petróleo y gas natural;Otros productos petrolíferos;2019;506
06 Extracción de crudo de petróleo y gas natural;Otros productos petrolíferos;2017;0
06 Extracción de crudo de petróleo y gas natural;Otros productos petrolíferos;2015;..
06 Extracción de crudo de petróleo y gas natural;Carbón y coque;2022;.
06 Extracción de crudo de petróleo y gas natural;Carbón y coque;2021;.
06 Extracción de crudo de petróleo y gas natural;Carbón y coque;2019;0
06 Extracción de crudo de petróleo y gas natural;Carbón y coque;2017;0
06 Extracción de crudo de petróleo y gas natural;Carbón y coque;2015;..
06 Extracción de crudo de petróleo y gas natural;Biocombustibles;2022;.
06 Extracción de crudo de petróleo y gas natural;Biocombustibles;2021;.
06 Extracción de crudo de petróleo y gas natural;Biocombustibles;2019;0
06 Extracción de crudo de petróleo y gas natural;Biocombustibles;2017;0
06 Extracción de crudo de petróleo y gas natural;Biocombustibles;2015;..
06 Extracción de crudo de petróleo y gas natural;Calor y otros consumos energéticos;2022;.
06 Extracción de crudo de petróleo y gas natural;Calor y otros consumos energéticos;2021;.
06 Extracción de crudo de petróleo y gas natural;Calor y otros consumos energéticos;2019;0
06 Extracción de crudo de petróleo y gas natural;Calor y otros consumos energéticos;2017;0
06 Extracción de crudo de petróleo y gas natural;Calor y otros consumos energéticos;2015;..
06 Extracción de crudo de petróleo y gas natural;Total consumos energéticos;2022;.
06 Extracción de crudo de petróleo y gas natural;Total consumos energéticos;2021;.
06 Extracción de crudo de petróleo y gas natural;Total consumos energéticos;2019;14.913
06 Extracción de crudo de petróleo y gas natural;Total consumos energéticos;2017;2.855
06 Extracción de crudo de petróleo y gas natural;Total consumos energéticos;2015;..
061 Extracción de crudo de petróleo;Electricidad;2022;.
061 Extracción de crudo de petróleo;Electricidad;2021;.
061 Extracción de crudo de petróleo;Electricidad;2019;..
061 Extracción de crudo de petróleo;Electricidad;2017;2.855
061 Extracción de crudo de petróleo;Electricidad;2015;..
061 Extracción de crudo de petróleo;Gas;2022;.
061 Extracción de crudo de petróleo;Gas;2021;.
061 Extracción de crudo de petróleo;Gas;2019;..
061 Extracción de crudo de petróleo;Gas;2017;0
061 Extracción de crudo de petróleo;Gas;2015;..
061 Extracción de crudo de petróleo;Gasóleo;2022;.
061 Extracción de crudo de petróleo;Gasóleo;2021;.
061 Extracción de crudo de petróleo;Gasóleo;2019;..
