Actividad principal (CNAE-2009 a 1, 2 y 3 dígitos);Producto consumido;año;Total
244 Producción de metales preciosos y de otros metales no férreos (CNAE 24.4);Carbón y coque;2015;1.156
244 Producción de metales preciosos y de otros metales no férreos (CNAE 24.4);Biocombustibles;2022;0
244 Producción de metales preciosos y de otros metales no férreos (CNAE 24.4);Biocombustibles;2021;0
244 Producción de metales preciosos y de otros metales no férreos (CNAE 24.4);Biocombustibles;2019;0
244 Producción de metales preciosos y de otros metales no férreos (CNAE 24.4);Biocombustibles;2017;319
244 Producción de metales preciosos y de otros metales no férreos (CNAE 24.4);Biocombustibles;2015;0
244 Producción de metales preciosos y de otros metales no férreos (CNAE 24.4);Calor y otros consumos energéticos;2022;2.726
244 Producción de metales preciosos y de otros metales no férreos (CNAE 24.4);Calor y otros consumos energéticos;2021;3.712
244 Producción de metales preciosos y de otros metales no férreos (CNAE 24.4);Calor y otros consumos energéticos;2019;1.919
244 Producción de metales preciosos y de otros metales no férreos (CNAE 24.4);Calor y otros consumos energéticos;2017;14.952
244 Producción de metales preciosos y de otros metales no férreos (CNAE 24.4);Calor y otros consumos energéticos;2015;13.950
244 Producción de metales preciosos y de otros metales no férreos (CNAE 24.4);Total consumos energéticos;2022;1.287.705
244 Producción de metales preciosos y de otros metales no férreos (CNAE 24.4);Total consumos energéticos;2021;873.273
244 Producción de metales preciosos y de otros metales no férreos (CNAE 24.4);Total consumos energéticos;2019;608.752
244 Producción de metales preciosos y de otros metales no férreos (CNAE 24.4);Total consumos energéticos;2017;540.843
244 Producción de metales preciosos y de otros metales no férreos (CNAE 24.4);Total consumos energéticos;2015;633.435
245 Fundición de metales (CNAE 24.5);Electricidad;2022;248.478
245 Fundición de metales (CNAE 24.5);Electricidad;2021;159.004
245 Fundición de metales (CNAE 24.5);Electricidad;2019;111.857
245 Fundición de metales (CNAE 24.5);Electricidad;2017;120.718
245 Fundición de metales (CNAE 24.5);Electricidad;2015;135.464
245 Fundición de metales (CNAE 24.5);Gas;2022;73.827
245 Fundición de metales (CNAE 24.5);Gas;2021;26.623
245 Fundición de metales (CNAE 24.5);Gas;2019;24.068
245 Fundición de metales (CNAE 24.5);Gas;2017;20.140
245 Fundición de metales (CNAE 24.5);Gas;2015;28.507
245 Fundición de metales (CNAE 24.5);Gasóleo;2022;2.187
245 Fundición de metales (CNAE 24.5);Gasóleo;2021;2.337
245 Fundición de metales (CNAE 24.5);Gasóleo;2019;2.844
245 Fundición de metales (CNAE 24.5);Gasóleo;2017;1.667
245 Fundición de metales (CNAE 24.5);Gasóleo;2015;1.685
245 Fundición de metales (CNAE 24.5);Fueloil;2022;4
245 Fundición de metales (CNAE 24.5);Fueloil;2021;0
245 Fundición de metales (CNAE 24.5);Fueloil;2019;35
245 Fundición de metales (CNAE 24.5);Fueloil;2017;3
245 Fundición de metales (CNAE 24.5);Fueloil;2015;0
245 Fundición de metales (CNAE 24.5);Otros productos petrolíferos;2022;364
245 Fundición de metales (CNAE 24.5);Otros productos petrolíferos;2021;298
245 Fundición de metales (CNAE 24.5);Otros productos petrolíferos;2019;848
245 Fundición de metales (CNAE 24.5);Otros productos petrolíferos;2017;509
245 Fundición de metales (CNAE 24.5);Otros productos petrolíferos;2015;789
245 Fundición de metales (CNAE 24.5);Carbón y coque;2022;18.696
245 Fundición de metales (CNAE 24.5);Carbón y coque;2021;6.428
245 Fundición de metales (CNAE 24.5);Carbón y coque;2019;10.532
245 Fundición de metales (CNAE 24.5);Carbón y coque;2017;7.346
245 Fundición de metales (CNAE 24.5);Carbón y coque;2015;11.119
245 Fundición de metales (CNAE 24.5);Biocombustibles;2022;496
245 Fundición de metales (CNAE 24.5);Biocombustibles;2021;690
245 Fundición de metales (CNAE 24.5);Biocombustibles;2019;7
245 Fundición de metales (CNAE 24.5);Biocombustibles;2017;0
245 Fundición de metales (CNAE 24.5);Biocombustibles;2015;0
245 Fundición de metales (CNAE 24.5);Calor y otros consumos energéticos;2022;5.207
245 Fundición de metales (CNAE 24.5);Calor y otros consumos energéticos;2021;2.199
245 Fundición de metales (CNAE 24.5);Calor y otros consumos energéticos;2019;1.892
245 Fundición de metales (CNAE 24.5);Calor y otros consumos energéticos;2017;1.350
245 Fundición de metales (CNAE 24.5);Calor y otros consumos energéticos;2015;587
245 Fundición de metales (CNAE 24.5);Total consumos energéticos;2022;349.261
245 Fundición de metales (CNAE 24.5);Total consumos energéticos;2021;197.579
245 Fundición de metales (CNAE 24.5);Total consumos energéticos;2019;152.083
245 Fundición de metales (CNAE 24.5);Total consumos energéticos;2017;151.733
245 Fundición de metales (CNAE 24.5);Total consumos energéticos;2015;178.150
25 Fabricación de productos metálicos, excepto maquinaria y equipo (CNAE 25);Electricidad;2022;603.683
25 Fabricación de productos metálicos, excepto maquinaria y equipo (CNAE 25);Electricidad;2021;357.203
25 Fabricación de productos metálicos, excepto maquinaria y equipo (CNAE 25);Electricidad;2019;307.052
25 Fabricación de productos metálicos, excepto maquinaria y equipo (CNAE 25);Electricidad;2017;288.146
25 Fabricación de productos metálicos, excepto maquinaria y equipo (CNAE 25);Electricidad;2015;292.553
25 Fabricación de productos metálicos, excepto maquinaria y equipo (CNAE 25);Gas;2022;210.057
25 Fabricación de productos metálicos, excepto maquinaria y equipo (CNAE 25);Gas;2021;98.039
25 Fabricación de productos metálicos, excepto maquinaria y equipo (CNAE 25);Gas;2019;98.754
25 Fabricación de productos metálicos, excepto maquinaria y equipo (CNAE 25);Gas;2017;70.799
25 Fabricación de productos metálicos, excepto maquinaria y equipo (CNAE 25);Gas;2015;70.434
25 Fabricación de productos metálicos, excepto maquinaria y equipo (CNAE 25);Gasóleo;2022;54.299
25 Fabricación de productos metálicos, excepto maquinaria y equipo (CNAE 25);Gasóleo;2021;44.800
25 Fabricación de productos metálicos, excepto maquinaria y equipo (CNAE 25);Gasóleo;2019;50.213
25 Fabricación de productos metálicos, excepto maquinaria y equipo (CNAE 25);Gasóleo;2017;44.672
25 Fabricación de productos metálicos, excepto maquinaria y equipo (CNAE 25);Gasóleo;2015;40.338
25 Fabricación de productos metálicos, excepto maquinaria y equipo (CNAE 25);Fueloil;2022;3.355
25 Fabricación de productos metálicos, excepto maquinaria y equipo (CNAE 25);Fueloil;2021;3.053
25 Fabricación de productos metálicos, excepto maquinaria y equipo (CNAE 25);Fueloil;2019;2.836
25 Fabricación de productos metálicos, excepto maquinaria y equipo (CNAE 25);Fueloil;2017;742
25 Fabricación de productos metálicos, excepto maquinaria y equipo (CNAE 25);Fueloil;2015;593
25 Fabricación de productos metálicos, excepto maquinaria y equipo (CNAE 25);Otros productos petrolíferos;2022;13.422
25 Fabricación de productos metálicos, excepto maquinaria y equipo (CNAE 25);Otros productos petrolíferos;2021;6.991
25 Fabricación de productos metálicos, excepto maquinaria y equipo (CNAE 25);Otros productos petrolíferos;2019;7.632
25 Fabricación de productos metálicos, excepto maquinaria y equipo (CNAE 25);Otros productos petrolíferos;2017;5.981
25 Fabricación de productos metálicos, excepto maquinaria y equipo (CNAE 25);Otros productos petrolíferos;2015;12.114
25 Fabricación de productos metálicos, excepto maquinaria y equipo (CNAE 25);Carbón y coque;2022;0
25 Fabricación de productos metálicos, excepto maquinaria y equipo (CNAE 25);Carbón y coque;2021;0
25 Fabricación de productos metálicos, excepto maquinaria y equipo (CNAE 25);Carbón y coque;2019;24
25 Fabricación de productos metálicos, excepto maquinaria y equipo (CNAE 25);Carbón y coque;2017;38
25 Fabricación de productos metálicos, excepto maquinaria y equipo (CNAE 25);Carbón y coque;2015;0
25 Fabricación de productos metálicos, excepto maquinaria y equipo (CNAE 25);Biocombustibles;2022;5.420
25 Fabricación de productos metálicos, excepto maquinaria y equipo (CNAE 25);Biocombustibles;2021;543
25 Fabricación de productos metálicos, excepto maquinaria y equipo (CNAE 25);Biocombustibles;2019;393
25 Fabricación de productos metálicos, excepto maquinaria y equipo (CNAE 25);Biocombustibles;2017;138
25 Fabricación de productos metálicos, excepto maquinaria y equipo (CNAE 25);Biocombustibles;2015;179
25 Fabricación de productos metálicos, excepto maquinaria y equipo (CNAE 25);Calor y otros consumos energéticos;2022;5.491
25 Fabricación de productos metálicos, excepto maquinaria y equipo (CNAE 25);Calor y otros consumos energéticos;2021;5.965
25 Fabricación de productos metálicos, excepto maquinaria y equipo (CNAE 25);Calor y otros consumos energéticos;2019;5.428
25 Fabricación de productos metálicos, excepto maquinaria y equipo (CNAE 25);Calor y otros consumos energéticos;2017;5.656
25 Fabricación de productos metálicos, excepto maquinaria y equipo (CNAE 25);Calor y otros consumos energéticos;2015;7.026
25 Fabricación de productos metálicos, excepto maquinaria y equipo (CNAE 25);Total consumos energéticos;2022;895.728
25 Fabricación de productos metálicos, excepto maquinaria y equipo (CNAE 25);Total consumos energéticos;2021;516.593
25 Fabricación de productos metálicos, excepto maquinaria y equipo (CNAE 25);Total consumos energéticos;2019;472.333
25 Fabricación de productos metálicos, excepto maquinaria y equipo (CNAE 25);Total consumos energéticos;2017;416.172
25 Fabricación de productos metálicos, excepto maquinaria y equipo (CNAE 25);Total consumos energéticos;2015;423.238
251 Fabricación de elementos metálicos para la construcción;Electricidad;2022;94.142
251 Fabricación de elementos metálicos para la construcción;Electricidad;2021;54.081
251 Fabricación de elementos metálicos para la construcción;Electricidad;2019;50.080
251 Fabricación de elementos metálicos para la construcción;Electricidad;2017;37.242
251 Fabricación de elementos metálicos para la construcción;Electricidad;2015;32.168
251 Fabricación de elementos metálicos para la construcción;Gas;2022;21.317
251 Fabricación de elementos metálicos para la construcción;Gas;2021;10.943
251 Fabricación de elementos metálicos para la construcción;Gas;2019;9.640
251 Fabricación de elementos metálicos para la construcción;Gas;2017;4.555
251 Fabricación de elementos metálicos para la construcción;Gas;2015;6.997
251 Fabricación de elementos metálicos para la construcción;Gasóleo;2022;30.771
251 Fabricación de elementos metálicos para la construcción;Gasóleo;2021;23.392
251 Fabricación de elementos metálicos para la construcción;Gasóleo;2019;25.995
251 Fabricación de elementos metálicos para la construcción;Gasóleo;2017;23.644
251 Fabricación de elementos metálicos para la construcción;Gasóleo;2015;16.825
251 Fabricación de elementos metálicos para la construcción;Fueloil;2022;165
251 Fabricación de elementos metálicos para la construcción;Fueloil;2021;6
251 Fabricación de elementos metálicos para la construcción;Fueloil;2019;6
251 Fabricación de elementos metálicos para la construcción;Fueloil;2017;178
251 Fabricación de elementos metálicos para la construcción;Fueloil;2015;0
251 Fabricación de elementos metálicos para la construcción;Otros productos petrolíferos;2022;4.790
251 Fabricación de elementos metálicos para la construcción;Otros productos petrolíferos;2021;2.115
251 Fabricación de elementos metálicos para la construcción;Otros productos petrolíferos;2019;2.228
251 Fabricación de elementos metálicos para la construcción;Otros productos petrolíferos;2017;1.694
251 Fabricación de elementos metálicos para la construcción;Otros productos petrolíferos;2015;2.794
251 Fabricación de elementos metálicos para la construcción;Carbón y coque;2022;0
251 Fabricación de elementos metálicos para la construcción;Carbón y coque;2021;0
251 Fabricación de elementos metálicos para la construcción;Carbón y coque;2019;0
251 Fabricación de elementos metálicos para la construcción;Carbón y coque;2017;0
251 Fabricación de elementos metálicos para la construcción;Carbón y coque;2015;0
251 Fabricación de elementos metálicos para la construcción;Biocombustibles;2022;648
251 Fabricación de elementos metálicos para la construcción;Biocombustibles;2021;4
251 Fabricación de elementos metálicos para la construcción;Biocombustibles;2019;0
251 Fabricación de elementos metálicos para la construcción;Biocombustibles;2017;13
251 Fabricación de elementos metálicos para la construcción;Biocombustibles;2015;0
251 Fabricación de elementos metálicos para la construcción;Calor y otros consumos energéticos;2022;1.051
251 Fabricación de elementos metálicos para la construcción;Calor y otros consumos energéticos;2021;480
251 Fabricación de elementos metálicos para la construcción;Calor y otros consumos energéticos;2019;1.021
251 Fabricación de elementos metálicos para la construcción;Calor y otros consumos energéticos;2017;864
251 Fabricación de elementos metálicos para la construcción;Calor y otros consumos energéticos;2015;459
251 Fabricación de elementos metálicos para la construcción;Total consumos energéticos;2022;152.883
251 Fabricación de elementos metálicos para la construcción;Total consumos energéticos;2021;91.021
251 Fabricación de elementos metálicos para la construcción;Total consumos energéticos;2019;88.970
251 Fabricación de elementos metálicos para la construcción;Total consumos energéticos;2017;68.190
251 Fabricación de elementos metálicos para la construcción;Total consumos energéticos;2015;59.243
252 Fabricación de cisternas, grandes depósitos y contenedores de metal (CNAE 25.2);Electricidad;2022;21.028
252 Fabricación de cisternas, grandes depósitos y contenedores de metal (CNAE 25.2);Electricidad;2021;10.236
252 Fabricación de cisternas, grandes depósitos y contenedores de metal (CNAE 25.2);Electricidad;2019;9.180
252 Fabricación de cisternas, grandes depósitos y contenedores de metal (CNAE 25.2);Electricidad;2017;7.980
252 Fabricación de cisternas, grandes depósitos y contenedores de metal (CNAE 25.2);Electricidad;2015;16.476
252 Fabricación de cisternas, grandes depósitos y contenedores de metal (CNAE 25.2);Gas;2022;7.015
252 Fabricación de cisternas, grandes depósitos y contenedores de metal (CNAE 25.2);Gas;2021;3.961
252 Fabricación de cisternas, grandes depósitos y contenedores de metal (CNAE 25.2);Gas;2019;3.101
252 Fabricación de cisternas, grandes depósitos y contenedores de metal (CNAE 25.2);Gas;2017;2.107
252 Fabricación de cisternas, grandes depósitos y contenedores de metal (CNAE 25.2);Gas;2015;3.836
252 Fabricación de cisternas, grandes depósitos y contenedores de metal (CNAE 25.2);Gasóleo;2022;3.877
252 Fabricación de cisternas, grandes depósitos y contenedores de metal (CNAE 25.2);Gasóleo;2021;3.070
252 Fabricación de cisternas, grandes depósitos y contenedores de metal (CNAE 25.2);Gasóleo;2019;3.637
252 Fabricación de cisternas, grandes depósitos y contenedores de metal (CNAE 25.2);Gasóleo;2017;3.362
252 Fabricación de cisternas, grandes depósitos y contenedores de metal (CNAE 25.2);Gasóleo;2015;2.923
252 Fabricación de cisternas, grandes depósitos y contenedores de metal (CNAE 25.2);Fueloil;2022;0
252 Fabricación de cisternas, grandes depósitos y contenedores de metal (CNAE 25.2);Fueloil;2021;16
252 Fabricación de cisternas, grandes depósitos y contenedores de metal (CNAE 25.2);Fueloil;2019;0
252 Fabricación de cisternas, grandes depósitos y contenedores de metal (CNAE 25.2);Fueloil;2017;0
252 Fabricación de cisternas, grandes depósitos y contenedores de metal (CNAE 25.2);Fueloil;2015;2
252 Fabricación de cisternas, grandes depósitos y contenedores de metal (CNAE 25.2);Otros productos petrolíferos;2022;1.677
252 Fabricación de cisternas, grandes depósitos y contenedores de metal (CNAE 25.2);Otros productos petrolíferos;2021;365
252 Fabricación de cisternas, grandes depósitos y contenedores de metal (CNAE 25.2);Otros productos petrolíferos;2019;1.682
252 Fabricación de cisternas, grandes depósitos y contenedores de metal (CNAE 25.2);Otros productos petrolíferos;2017;386
252 Fabricación de cisternas, grandes depósitos y contenedores de metal (CNAE 25.2);Otros productos petrolíferos;2015;563
252 Fabricación de cisternas, grandes depósitos y contenedores de metal (CNAE 25.2);Carbón y coque;2022;0
252 Fabricación de cisternas, grandes depósitos y contenedores de metal (CNAE 25.2);Carbón y coque;2021;0
252 Fabricación de cisternas, grandes depósitos y contenedores de metal (CNAE 25.2);Carbón y coque;2019;24
252 Fabricación de cisternas, grandes depósitos y contenedores de metal (CNAE 25.2);Carbón y coque;2017;38
252 Fabricación de cisternas, grandes depósitos y contenedores de metal (CNAE 25.2);Carbón y coque;2015;0
252 Fabricación de cisternas, grandes depósitos y contenedores de metal (CNAE 25.2);Biocombustibles;2022;0
252 Fabricación de cisternas, grandes depósitos y contenedores de metal (CNAE 25.2);Biocombustibles;2021;0
252 Fabricación de cisternas, grandes depósitos y contenedores de metal (CNAE 25.2);Biocombustibles;2019;12
252 Fabricación de cisternas, grandes depósitos y contenedores de metal (CNAE 25.2);Biocombustibles;2017;62
252 Fabricación de cisternas, grandes depósitos y contenedores de metal (CNAE 25.2);Biocombustibles;2015;1
252 Fabricación de cisternas, grandes depósitos y contenedores de metal (CNAE 25.2);Calor y otros consumos energéticos;2022;132
252 Fabricación de cisternas, grandes depósitos y contenedores de metal (CNAE 25.2);Calor y otros consumos energéticos;2021;168
252 Fabricación de cisternas, grandes depósitos y contenedores de metal (CNAE 25.2);Calor y otros consumos energéticos;2019;148
252 Fabricación de cisternas, grandes depósitos y contenedores de metal (CNAE 25.2);Calor y otros consumos energéticos;2017;0
252 Fabricación de cisternas, grandes depósitos y contenedores de metal (CNAE 25.2);Calor y otros consumos energéticos;2015;267
252 Fabricación de cisternas, grandes depósitos y contenedores de metal (CNAE 25.2);Total consumos energéticos;2022;33.728
252 Fabricación de cisternas, grandes depósitos y contenedores de metal (CNAE 25.2);Total consumos energéticos;2021;17.815
252 Fabricación de cisternas, grandes depósitos y contenedores de metal (CNAE 25.2);Total consumos energéticos;2019;17.784
252 Fabricación de cisternas, grandes depósitos y contenedores de metal (CNAE 25.2);Total consumos energéticos;2017;13.935
252 Fabricación de cisternas, grandes depósitos y contenedores de metal (CNAE 25.2);Total consumos energéticos;2015;24.068
253 Fabricación de generadores de vapor, excepto calderas de calefacción central (CNAE 25.3);Electricidad;2022;974
253 Fabricación de generadores de vapor, excepto calderas de calefacción central (CNAE 25.3);Electricidad;2021;567
253 Fabricación de generadores de vapor, excepto calderas de calefacción central (CNAE 25.3);Electricidad;2019;1.144
253 Fabricación de generadores de vapor, excepto calderas de calefacción central (CNAE 25.3);Electricidad;2017;922
253 Fabricación de generadores de vapor, excepto calderas de calefacción central (CNAE 25.3);Electricidad;2015;1.309
253 Fabricación de generadores de vapor, excepto calderas de calefacción central (CNAE 25.3);Gas;2022;25
253 Fabricación de generadores de vapor, excepto calderas de calefacción central (CNAE 25.3);Gas;2021;140
253 Fabricación de generadores de vapor, excepto calderas de calefacción central (CNAE 25.3);Gas;2019;465
253 Fabricación de generadores de vapor, excepto calderas de calefacción central (CNAE 25.3);Gas;2017;450
253 Fabricación de generadores de vapor, excepto calderas de calefacción central (CNAE 25.3);Gas;2015;699
253 Fabricación de generadores de vapor, excepto calderas de calefacción central (CNAE 25.3);Gasóleo;2022;135
253 Fabricación de generadores de vapor, excepto calderas de calefacción central (CNAE 25.3);Gasóleo;2021;152
253 Fabricación de generadores de vapor, excepto calderas de calefacción central (CNAE 25.3);Gasóleo;2019;237
253 Fabricación de generadores de vapor, excepto calderas de calefacción central (CNAE 25.3);Gasóleo;2017;186
253 Fabricación de generadores de vapor, excepto calderas de calefacción central (CNAE 25.3);Gasóleo;2015;266
253 Fabricación de generadores de vapor, excepto calderas de calefacción central (CNAE 25.3);Fueloil;2022;0
253 Fabricación de generadores de vapor, excepto calderas de calefacción central (CNAE 25.3);Fueloil;2021;0
253 Fabricación de generadores de vapor, excepto calderas de calefacción central (CNAE 25.3);Fueloil;2019;0
253 Fabricación de generadores de vapor, excepto calderas de calefacción central (CNAE 25.3);Fueloil;2017;0
253 Fabricación de generadores de vapor, excepto calderas de calefacción central (CNAE 25.3);Fueloil;2015;0
253 Fabricación de generadores de vapor, excepto calderas de calefacción central (CNAE 25.3);Otros productos petrolíferos;2022;0
253 Fabricación de generadores de vapor, excepto calderas de calefacción central (CNAE 25.3);Otros productos petrolíferos;2021;20
253 Fabricación de generadores de vapor, excepto calderas de calefacción central (CNAE 25.3);Otros productos petrolíferos;2019;1
253 Fabricación de generadores de vapor, excepto calderas de calefacción central (CNAE 25.3);Otros productos petrolíferos;2017;34
253 Fabricación de generadores de vapor, excepto calderas de calefacción central (CNAE 25.3);Otros productos petrolíferos;2015;25
253 Fabricación de generadores de vapor, excepto calderas de calefacción central (CNAE 25.3);Carbón y coque;2022;0
253 Fabricación de generadores de vapor, excepto calderas de calefacción central (CNAE 25.3);Carbón y coque;2021;0
253 Fabricación de generadores de vapor, excepto calderas de calefacción central (CNAE 25.3);Carbón y coque;2019;0
253 Fabricación de generadores de vapor, excepto calderas de calefacción central (CNAE 25.3);Carbón y coque;2017;0
253 Fabricación de generadores de vapor, excepto calderas de calefacción central (CNAE 25.3);Carbón y coque;2015;0
253 Fabricación de generadores de vapor, excepto calderas de calefacción central (CNAE 25.3);Biocombustibles;2022;0
253 Fabricación de generadores de vapor, excepto calderas de calefacción central (CNAE 25.3);Biocombustibles;2021;0
253 Fabricación de generadores de vapor, excepto calderas de calefacción central (CNAE 25.3);Biocombustibles;2019;0
253 Fabricación de generadores de vapor, excepto calderas de calefacción central (CNAE 25.3);Biocombustibles;2017;0
253 Fabricación de generadores de vapor, excepto calderas de calefacción central (CNAE 25.3);Biocombustibles;2015;0
253 Fabricación de generadores de vapor, excepto calderas de calefacción central (CNAE 25.3);Calor y otros consumos energéticos;2022;0
253 Fabricación de generadores de vapor, excepto calderas de calefacción central (CNAE 25.3);Calor y otros consumos energéticos;2021;0
253 Fabricación de generadores de vapor, excepto calderas de calefacción central (CNAE 25.3);Calor y otros consumos energéticos;2019;0
253 Fabricación de generadores de vapor, excepto calderas de calefacción central (CNAE 25.3);Calor y otros consumos energéticos;2017;0
253 Fabricación de generadores de vapor, excepto calderas de calefacción central (CNAE 25.3);Calor y otros consumos energéticos;2015;0
253 Fabricación de generadores de vapor, excepto calderas de calefacción central (CNAE 25.3);Total consumos energéticos;2022;1.133
253 Fabricación de generadores de vapor, excepto calderas de calefacción central (CNAE 25.3);Total consumos energéticos;2021;878
253 Fabricación de generadores de vapor, excepto calderas de calefacción central (CNAE 25.3);Total consumos energéticos;2019;1.846
253 Fabricación de generadores de vapor, excepto calderas de calefacción central (CNAE 25.3);Total consumos energéticos;2017;1.592
253 Fabricación de generadores de vapor, excepto calderas de calefacción central (CNAE 25.3);Total consumos energéticos;2015;2.298
254 Fabricación de armas y municiones (CNAE 25.4);Electricidad;2022;5.789
254 Fabricación de armas y municiones (CNAE 25.4);Electricidad;2021;4.263
254 Fabricación de armas y municiones (CNAE 25.4);Electricidad;2019;3.787
254 Fabricación de armas y municiones (CNAE 25.4);Electricidad;2017;3.165
254 Fabricación de armas y municiones (CNAE 25.4);Electricidad;2015;4.089
254 Fabricación de armas y municiones (CNAE 25.4);Gas;2022;315
254 Fabricación de armas y municiones (CNAE 25.4);Gas;2021;233
254 Fabricación de armas y municiones (CNAE 25.4);Gas;2019;607
254 Fabricación de armas y municiones (CNAE 25.4);Gas;2017;644
254 Fabricación de armas y municiones (CNAE 25.4);Gas;2015;895
254 Fabricación de armas y municiones (CNAE 25.4);Gasóleo;2022;1.583
254 Fabricación de armas y municiones (CNAE 25.4);Gasóleo;2021;1.179
254 Fabricación de armas y municiones (CNAE 25.4);Gasóleo;2019;289
254 Fabricación de armas y municiones (CNAE 25.4);Gasóleo;2017;320
254 Fabricación de armas y municiones (CNAE 25.4);Gasóleo;2015;311
254 Fabricación de armas y municiones (CNAE 25.4);Fueloil;2022;397
254 Fabricación de armas y municiones (CNAE 25.4);Fueloil;2021;84
254 Fabricación de armas y municiones (CNAE 25.4);Fueloil;2019;395
254 Fabricación de armas y municiones (CNAE 25.4);Fueloil;2017;383
254 Fabricación de armas y municiones (CNAE 25.4);Fueloil;2015;0
254 Fabricación de armas y municiones (CNAE 25.4);Otros productos petrolíferos;2022;1
254 Fabricación de armas y municiones (CNAE 25.4);Otros productos petrolíferos;2021;1
254 Fabricación de armas y municiones (CNAE 25.4);Otros productos petrolíferos;2019;1
254 Fabricación de armas y municiones (CNAE 25.4);Otros productos petrolíferos;2017;8
254 Fabricación de armas y municiones (CNAE 25.4);Otros productos petrolíferos;2015;14
254 Fabricación de armas y municiones (CNAE 25.4);Carbón y coque;2022;0
254 Fabricación de armas y municiones (CNAE 25.4);Carbón y coque;2021;0
254 Fabricación de armas y municiones (CNAE 25.4);Carbón y coque;2019;0
254 Fabricación de armas y municiones (CNAE 25.4);Carbón y coque;2017;0
254 Fabricación de armas y municiones (CNAE 25.4);Carbón y coque;2015;0
254 Fabricación de armas y municiones (CNAE 25.4);Biocombustibles;2022;0
254 Fabricación de armas y municiones (CNAE 25.4);Biocombustibles;2021;0
254 Fabricación de armas y municiones (CNAE 25.4);Biocombustibles;2019;7
254 Fabricación de armas y municiones (CNAE 25.4);Biocombustibles;2017;0
254 Fabricación de armas y municiones (CNAE 25.4);Biocombustibles;2015;0
254 Fabricación de armas y municiones (CNAE 25.4);Calor y otros consumos energéticos;2022;0
254 Fabricación de armas y municiones (CNAE 25.4);Calor y otros consumos energéticos;2021;0
254 Fabricación de armas y municiones (CNAE 25.4);Calor y otros consumos energéticos;2019;0
254 Fabricación de armas y municiones (CNAE 25.4);Calor y otros consumos energéticos;2017;5
254 Fabricación de armas y municiones (CNAE 25.4);Calor y otros consumos energéticos;2015;0
254 Fabricación de armas y municiones (CNAE 25.4);Total consumos energéticos;2022;8.086
254 Fabricación de armas y municiones (CNAE 25.4);Total consumos energéticos;2021;5.760
254 Fabricación de armas y municiones (CNAE 25.4);Total consumos energéticos;2019;5.085
254 Fabricación de armas y municiones (CNAE 25.4);Total consumos energéticos;2017;4.526
254 Fabricación de armas y municiones (CNAE 25.4);Total consumos energéticos;2015;5.310
255 Forja, estampación y embutición de metales metalurgia de polvos (CNAE 25.5);Electricidad;2022;149.746
255 Forja, estampación y embutición de metales metalurgia de polvos (CNAE 25.5);Electricidad;2021;94.881
255 Forja, estampación y embutición de metales metalurgia de polvos (CNAE 25.5);Electricidad;2019;77.962
255 Forja, estampación y embutición de metales metalurgia de polvos (CNAE 25.5);Electricidad;2017;83.452
255 Forja, estampación y embutición de metales metalurgia de polvos (CNAE 25.5);Electricidad;2015;77.469
255 Forja, estampación y embutición de metales metalurgia de polvos (CNAE 25.5);Gas;2022;57.493
255 Forja, estampación y embutición de metales metalurgia de polvos (CNAE 25.5);Gas;2021;26.253
255 Forja, estampación y embutición de metales metalurgia de polvos (CNAE 25.5);Gas;2019;29.154
255 Forja, estampación y embutición de metales metalurgia de polvos (CNAE 25.5);Gas;2017;13.540
255 Forja, estampación y embutición de metales metalurgia de polvos (CNAE 25.5);Gas;2015;9.820
255 Forja, estampación y embutición de metales metalurgia de polvos (CNAE 25.5);Gasóleo;2022;3.945
255 Forja, estampación y embutición de metales metalurgia de polvos (CNAE 25.5);Gasóleo;2021;4.564
255 Forja, estampación y embutición de metales metalurgia de polvos (CNAE 25.5);Gasóleo;2019;2.891
255 Forja, estampación y embutición de metales metalurgia de polvos (CNAE 25.5);Gasóleo;2017;4.508
255 Forja, estampación y embutición de metales metalurgia de polvos (CNAE 25.5);Gasóleo;2015;4.967
255 Forja, estampación y embutición de metales metalurgia de polvos (CNAE 25.5);Fueloil;2022;2.759
255 Forja, estampación y embutición de metales metalurgia de polvos (CNAE 25.5);Fueloil;2021;2.844
255 Forja, estampación y embutición de metales metalurgia de polvos (CNAE 25.5);Fueloil;2019;2.414
255 Forja, estampación y embutición de metales metalurgia de polvos (CNAE 25.5);Fueloil;2017;102
255 Forja, estampación y embutición de metales metalurgia de polvos (CNAE 25.5);Fueloil;2015;313
255 Forja, estampación y embutición de metales metalurgia de polvos (CNAE 25.5);Otros productos petrolíferos;2022;2.581
255 Forja, estampación y embutición de metales metalurgia de polvos (CNAE 25.5);Otros productos petrolíferos;2021;1.022
255 Forja, estampación y embutición de metales metalurgia de polvos (CNAE 25.5);Otros productos petrolíferos;2019;1.240
255 Forja, estampación y embutición de metales metalurgia de polvos (CNAE 25.5);Otros productos petrolíferos;2017;770
255 Forja, estampación y embutición de metales metalurgia de polvos (CNAE 25.5);Otros productos petrolíferos;2015;1.853
255 Forja, estampación y embutición de metales metalurgia de polvos (CNAE 25.5);Carbón y coque;2022;0
255 Forja, estampación y embutición de metales metalurgia de polvos (CNAE 25.5);Carbón y coque;2021;0
255 Forja, estampación y embutición de metales metalurgia de polvos (CNAE 25.5);Carbón y coque;2019;0
255 Forja, estampación y embutición de metales metalurgia de polvos (CNAE 25.5);Carbón y coque;2017;0
